Index,GMSL,year
0,-1.6,1993
1,-3.4,1993.083333
2,5.5,1993.166667
3,0.1,1993.25
4,5.3,1993.333333
5,0.2,1993.416667
6,3.9,1993.5
7,0.2,1993.583333
8,3.1,1993.666667
9,-0.1,1993.75
10,0.5,1993.833333
11,3.2,1993.916667
12,2.9,1994
13,0.2,1994.083333
14,9.3,1994.166667
15,6.6,1994.25
16,2.7,1994.333333
17,2.4,1994.416667
18,1.5,1994.5
19,3.4,1994.583333
20,-0.1,1994.666667
21,3.4,1994.75
22,-3.5,1994.833333
23,4,1994.916667
24,2.3,1995
25,6.5,1995.083333
26,6.9,1995.166667
27,10,1995.25
28,2.5,1995.333333
29,7.8,1995.416667
30,0.7,1995.5
31,7.1,1995.583333
32,5,1995.666667
33,7.6,1995.75
34,3.1,1995.833333
35,9.5,1995.916667
36,0.1,1996
37,12.2,1996.083333
38,7.5,1996.166667
39,12.3,1996.25
40,11.2,1996.333333
41,13.9,1996.416667
42,13.4,1996.5
43,11.9,1996.583333
44,10.8,1996.666667
45,19.6,1996.75
46,15.6,1996.833333
47,7.6,1996.916667
48,10.8,1997
49,9.3,1997.083333
50,15,1997.166667
51,12.4,1997.25
52,17.6,1997.333333
53,14.8,1997.416667
54,21.5,1997.5
55,17.4,1997.583333
56,24.2,1997.666667
57,16.8,1997.75
58,20.3,1997.833333
59,12.5,1997.916667
60,20.8,1998
61,19.2,1998.083333
62,25.9,1998.166667
63,23,1998.25
64,25,1998.333333
65,19.4,1998.416667
66,24.6,1998.5
67,19.8,1998.583333
68,21.7,1998.666667
69,21.8,1998.75
70,20.5,1998.833333
71,21.5,1998.916667
72,22.7,1999
73,24.9,1999.083333
74,20.6,1999.166667
75,22.1,1999.25
76,18.8,1999.333333
77,20.6,1999.416667
78,19.8,1999.5
79,22.9,1999.583333
80,18,1999.666667
81,28,1999.75
82,17.9,1999.833333
83,28.8,1999.916667
84,22.4,2000
85,28.6,2000.083333
86,24.5,2000.166667
87,27.2,2000.25
88,20.7,2000.333333
89,26.7,2000.416667
90,20,2000.5
91,26.3,2000.583333
92,23,2000.666667
93,30.3,2000.75
94,24.1,2000.833333
95,25.7,2000.916667
96,26.9,2001
97,28.2,2001.083333
98,30.4,2001.166667
99,30.1,2001.25
100,29,2001.333333
101,28.9,2001.416667
102,32.5,2001.5
103,27.6,2001.583333
104,34.8,2001.666667
105,27.8,2001.75
106,32.6,2001.833333
107,26.6,2001.916667
108,32.2,2002
109,32.4,2002.083333
110,32.2,2002.166667
111,32,2002.25
112,33.8,2002.333333
113,31.1,2002.416667
114,35.3,2002.5
115,36.7,2002.583333
116,32.8,2002.666667
117,36.1,2002.75
118,32.2,2002.833333
119,33.1,2002.916667
120,34.5,2003
121,37,2003.083333
122,36.6,2003.166667
123,35.8,2003.25
124,36.4,2003.333333
125,33.3,2003.416667
126,34.2,2003.5
127,33.4,2003.583333
128,37.7,2003.666667
129,35.6,2003.75
130,34.5,2003.833333
131,35.2,2003.916667
132,39.1,2004
133,37,2004.083333
134,39.3,2004.166667
135,38.7,2004.25
136,37.2,2004.333333
137,36.7,2004.416667
138,38.4,2004.5
139,36.1,2004.583333
140,39,2004.666667
141,35.3,2004.75
142,35.3,2004.833333
143,39.2,2004.916667
144,38.1,2005
145,40.9,2005.083333
146,42.5,2005.166667
147,40.5,2005.25
148,41.4,2005.333333
149,41.9,2005.416667
150,40.9,2005.5
151,40.4,2005.583333
152,40.6,2005.666667
153,41,2005.75
154,43.6,2005.833333
155,44.7,2005.916667
156,40.1,2006
157,43.5,2006.083333
158,42.8,2006.166667
159,43.3,2006.25
160,43.1,2006.333333
161,44,2006.416667
162,44,2006.5
163,43.1,2006.583333
164,43.3,2006.666667
165,44.3,2006.75
166,40.2,2006.833333
167,43.5,2006.916667
168,40.5,2007
169,42.8,2007.083333
170,43.3,2007.166667
171,48,2007.25
172,43.9,2007.333333
173,43.5,2007.416667
174,41.5,2007.5
175,42.2,2007.583333
176,41.4,2007.666667
177,42.6,2007.75
178,45.9,2007.833333
179,42.8,2007.916667
180,46.2,2008
181,43.7,2008.083333
182,48.5,2008.166667
183,47,2008.25
184,52.9,2008.333333
185,49.8,2008.416667
186,49.4,2008.5
187,47.5,2008.583333
188,49.2,2008.666667
189,48.5,2008.75
190,50.5,2008.833333
191,49.6,2008.916667
192,51.1,2009
193,49.3,2009.083333
194,53.7,2009.166667
195,52,2009.25
196,54.5,2009.333333
197,54.3,2009.416667
198,54.3,2009.5
199,53,2009.583333
200,54.8,2009.666667
201,54.6,2009.75
202,55.1,2009.833333
203,55.7,2009.916667
204,52.5,2010
205,54.3,2010.083333
206,54.8,2010.166667
207,56,2010.25
208,57.6,2010.333333
209,60.5,2010.416667
210,57.7,2010.5
211,55.5,2010.583333
212,51.5,2010.666667
213,53.5,2010.75
214,51.6,2010.833333
215,53.1,2010.916667
216,52.1,2011
217,52.9,2011.083333
218,49.9,2011.166667
219,53,2011.25
220,52.5,2011.333333
221,57.4,2011.416667
222,54.3,2011.5
223,57.7,2011.583333
224,54,2011.666667
225,57.4,2011.75
226,54.9,2011.833333
227,59.3,2011.916667
228,63.8,2012
229,62.4,2012.083333
230,62.3,2012.166667
231,62,2012.25
232,64.1,2012.333333
233,66.9,2012.416667
234,69.3,2012.5
235,65.9,2012.583333
236,65.8,2012.666667
237,65.9,2012.75
238,67.2,2012.833333
239,69.1,2012.916667
240,70.2,2013
241,67.7,2013.083333
242,71,2013.166667
243,68,2013.25
244,69.5,2013.333333
245,67.8,2013.416667
246,69.7,2013.5
247,64.9,2013.583333
248,65.7,2013.666667
249,64.9,2013.75
250,68.1,2013.833333
251,66.9,2013.916667
252,69,2014
253,70.1,2014.083333
254,71.5,2014.166667
255,69.3,2014.25
256,69.9,2014.333333
257,71.9,2014.416667
258,73.1,2014.5
259,73.5,2014.583333
260,70.2,2014.666667
261,71.7,2014.75
262,69,2014.833333
263,76,2014.916667
264,74.5,2015
265,79.5,2015.083333
