Year,Tem
1973,13.79
1974,13.8
1975,13.81
1976,13.83
1977,13.86
1978,13.91
1979,13.95
1980,13.99
1981,14
1982,14.01
1983,14
1984,14
1985,14.01
1986,14.03
1987,14.06
1988,14.1
1989,14.12
1990,14.12
1991,14.12
1992,14.12
1993,14.12
1994,14.13
1995,14.16
1996,14.19
1997,14.22
1998,14.24
1999,14.27
2000,14.29
2001,14.32
2002,14.34
2003,14.38
2004,14.4
2005,14.41
2006,14.42
2007,14.43
2008,14.44
2009,14.44
2010,14.44
2011,14.46
2012,14.49
2013,14.53
2014,14.58
2015,14.62
2016,14.66
2017,14.7
2018,14.74
2019,14.78
